sequence,row_index,id,relative_path,expected_status,label,repeat,order_in_repeat,result,time_s,exit_code,process_returncode,timed_out,error_kind,stdout,stderr,argv_json
0,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,baseline,0,0,sat,0.002235875,0,0,0,,"sat
",,"[""/tmp/euf-viper-pre-fxhash-semantic-atoms"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
1,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,candidate,0,1,sat,0.002263417,0,0,0,,"sat
",,"[""/tmp/euf-viper-pgo-use/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
2,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,candidate,1,0,sat,0.002156333,0,0,0,,"sat
",,"[""/tmp/euf-viper-pgo-use/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
3,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,baseline,1,1,sat,0.002359417,0,0,0,,"sat
",,"[""/tmp/euf-viper-pre-fxhash-semantic-atoms"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
4,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,baseline,2,0,sat,0.002201458,0,0,0,,"sat
",,"[""/tmp/euf-viper-pre-fxhash-semantic-atoms"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
5,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,candidate,2,1,sat,0.002219084,0,0,0,,"sat
",,"[""/tmp/euf-viper-pgo-use/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
6,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,candidate,3,0,sat,0.002362167,0,0,0,,"sat
",,"[""/tmp/euf-viper-pgo-use/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
7,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,baseline,3,1,sat,0.002149875,0,0,0,,"sat
",,"[""/tmp/euf-viper-pre-fxhash-semantic-atoms"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
8,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,baseline,4,0,sat,0.002218542,0,0,0,,"sat
",,"[""/tmp/euf-viper-pre-fxhash-semantic-atoms"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
9,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,candidate,4,1,sat,0.002299917,0,0,0,,"sat
",,"[""/tmp/euf-viper-pgo-use/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
10,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,candidate,5,0,sat,0.002585125,0,0,0,,"sat
",,"[""/tmp/euf-viper-pgo-use/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
11,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,baseline,5,1,sat,0.002358375,0,0,0,,"sat
",,"[""/tmp/euf-viper-pre-fxhash-semantic-atoms"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
12,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,baseline,6,0,sat,0.002304292,0,0,0,,"sat
",,"[""/tmp/euf-viper-pre-fxhash-semantic-atoms"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
13,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,candidate,6,1,sat,0.002074209,0,0,0,,"sat
",,"[""/tmp/euf-viper-pgo-use/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
14,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,candidate,7,0,sat,0.001984833,0,0,0,,"sat
",,"[""/tmp/euf-viper-pgo-use/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
15,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,baseline,7,1,sat,0.002155750,0,0,0,,"sat
",,"[""/tmp/euf-viper-pre-fxhash-semantic-atoms"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
16,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,baseline,8,0,sat,0.002351916,0,0,0,,"sat
",,"[""/tmp/euf-viper-pre-fxhash-semantic-atoms"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
17,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,candidate,8,1,sat,0.002217959,0,0,0,,"sat
",,"[""/tmp/euf-viper-pgo-use/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
18,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,candidate,9,0,sat,0.002197875,0,0,0,,"sat
",,"[""/tmp/euf-viper-pgo-use/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
19,0,basic-sat,tests/fixtures/basic_sat.smt2,sat,baseline,9,1,sat,0.002259375,0,0,0,,"sat
",,"[""/tmp/euf-viper-pre-fxhash-semantic-atoms"",""fabric-solve"",""--engine"",""cadical-up"",""tests/fixtures/basic_sat.smt2""]"
